date,url,title,category,text_preprocessing
02/17/2020,https://health.detik.com/sexual-health/d-4902983/pemuda-sulsel-curi-cd-dan-bra-emak-emak-termasuk-fetish-atau-gangguan-jiwa,"Pemuda Sulsel Curi CD dan Bra Emak-emak, Termasuk Fetish atau Gangguan Jiwa?",health,pemuda sulsel curi bra emak emak fetish ganggu jiwa
02/17/2020,https://health.detik.com/sexual-health/d-4902894/pemuda-di-sulsel-curi-bra-dan-cd-emak-emak-ilmu-hitam-atau-fetish,"Pemuda di Sulsel Curi Bra dan 'CD' Emak-emak, Ilmu Hitam atau Fetish?",health,pemuda sulsel curi bra emak emak ilmu hitam fetish
02/17/2020,https://health.detik.com/berita-detikhealth/d-4902902/netizen-sebut-health-alert-card-ribet-dan-tak-efektif-ini-kata-kemenkes,"Netizen Sebut Health Alert Card Ribet dan Tak Efektif, Ini Kata Kemenkes",health,netizen health alert card ribet efektif kemenkes
02/17/2020,https://health.detik.com/sexual-health/d-4902995/apa-yang-bikin-seks-terasa-menyenangkan-riset-ini-mengungkap-jawabannya,Apa yang Bikin Seks Terasa Menyenangkan? Riset Ini Mengungkap Jawabannya,health,bikin seks senang riset ungkap jawab
02/17/2020,https://health.detik.com/berita-detikhealth/d-4902872/studi-mengatakan-covid-19-tidak-menular-ke-janin,Studi Mengatakan COVID-19 Tidak Menular ke Janin,health,studi covid tular janin
02/17/2020,https://health.detik.com/berita-detikhealth/d-4902850/tak-perlu-karantina-sepulang-dari-singapura-checklist-lebih-disarankan,"Tak Perlu Karantina Sepulang dari Singapura, Checklist Lebih Disarankan",health,karantina pulang singapura checklist saran
02/17/2020,https://health.detik.com/berita-detikhealth/d-4902815/efek-amphetamine-narkoba-yang-jejaknya-ada-di-tubuh-lucinta-luna,"Efek Amphetamine, Narkoba yang Jejaknya Ada di Tubuh Lucinta Luna",health,efek amphetamine narkoba jejak tubuh lucinta luna
02/17/2020,https://health.detik.com/berita-detikhealth/d-4902768/bayi-67-hari-jadi-pasien-termuda-yang-sembuh-dari-covid-19,Bayi 67 Hari Jadi Pasien Termuda yang Sembuh dari COVID-19,health,bayi pasien muda sembuh covid
02/17/2020,https://health.detik.com/berita-detikhealth/d-4902731/lucinta-luna-positif-amphetamin-obat-apakah-itu,"Lucinta Luna Positif Amphetamin, Obat Apakah Itu?",health,lucinta luna positif amphetamin obat
02/17/2020,https://health.detik.com/berita-detikhealth/d-4902689/health-alert-card-di-bandara-bikin-ribet-ini-saran-guru-besar-fkm-ui,"Health Alert Card di Bandara Bikin Ribet, Ini Saran Guru Besar FKM UI",health,health alert card bandara bikin ribet saran guru fkm
02/17/2020,https://health.detik.com/berita-detikhealth/d-4902620/tunggu-hasil-tes-menkes-akan-jemput-78-wni-di-kapal-pesiar-jepang,"Tunggu Hasil Tes, Menkes Akan Jemput 78 WNI di Kapal Pesiar Jepang",health,tunggu hasil tes menkes jemput wni kapal pesiar jepang
02/17/2020,https://health.detik.com/berita-detikhealth/d-4902593/bikin-ribet-pengisian-health-alert-card-di-bandara-dikeluhkan,"Bikin Ribet, Pengisian 'Health Alert Card' di Bandara Dikeluhkan",health,bikin ribet isi health alert card bandara keluh
02/17/2020,https://health.detik.com/berita-detikhealth/d-4902590/ini-olahraga-yang-dapat-dilakukan-untuk-turunkan-kadar-kolesterol,Ini Olahraga yang Dapat Dilakukan untuk Turunkan Kadar Kolesterol,health,olahraga turun kadar kolesterol
02/17/2020,https://health.detik.com/berita-detikhealth/d-4902549/tak-hanya-masker-dan-desinfektan-tisu-toilet-juga-ludes-gara-gara-corona,"Tak Hanya Masker dan Desinfektan, Tisu Toilet Juga Ludes Gara-gara Corona",health,masker desinfektan tisu toilet ludes gara gara corona
02/17/2020,https://health.detik.com/berita-detikhealth/d-4902502/tak-takut-dicibir-menkes-tegaskan-lagi-soal-doa-bantu-tangkal-corona,"Tak Takut Dicibir, Menkes Tegaskan Lagi Soal Doa Bantu Tangkal Corona",health,takut cibir menkes tegas doa bantu tangkal corona
02/17/2020,https://health.detik.com/detiktv/d-4902454/who-belum-bisa-prediksi-penyebaran-covid-19-ke-depannya,WHO Belum Bisa Prediksi Penyebaran COVID-19 ke Depannya,health,who prediksi sebar covid depan
02/17/2020,https://health.detik.com/berita-detikhealth/d-4902392/ri-tak-wajibkan-karantina-diri-sendiri-sepulang-dari-singapura,RI Tak Wajibkan Karantina Diri Sendiri Sepulang dari Singapura,health,wajib karantina pulang singapura
02/17/2020,https://health.detik.com/berita-detikhealth/d-4902391/tidak-melulu-tanda-penyakit-serius-ini-penyebab-kita-sering-batuk,"Tidak Melulu Tanda Penyakit Serius, Ini Penyebab Kita Sering Batuk",health,melulu tanda sakit serius sebab batuk
02/17/2020,https://health.detik.com/detiktv/d-4902375/peneliti-rilis-gambar-paru-paru-pasien-terinfeksi-virus-corona-covid-19,Peneliti Rilis Gambar Paru-paru Pasien Terinfeksi Virus Corona COVID-19,health,teliti rilis gambar paru paru pasien infeksi virus corona covid
02/17/2020,https://health.detik.com/berita-detikhealth/d-4902315/korea-selatan-umumkan-satu-pasien-sembuh-dari-virus-corona-covid-19,Korea Selatan Umumkan Satu Pasien Sembuh dari Virus Corona COVID-19,health,korea selatan umum pasien sembuh virus corona covid
02/17/2020,https://health.detik.com/berita-detikhealth/d-4902266/di-negara-negara-ini-datang-dari-singapura-harus-mengkarantina-diri-sendiri,"Di Negara-negara Ini, Datang dari Singapura Harus Mengkarantina Diri Sendiri",health,negara negara singapura karantina
02/17/2020,https://health.detik.com/berita-detikhealth/d-4902235/penasaran-ini-lho-penampakan-virus-corona-covid-19-yang-sebenarnya,Penasaran? Ini Lho Penampakan Virus Corona COVID-19 yang Sebenarnya,health,penasaran lho tampak virus corona covid
02/17/2020,https://health.detik.com/true-story/d-4902175/rebutan-desinfektan-covid-19-pengunjung-supermarket-saling-tusuk,"Rebutan Desinfektan COVID-19, Pengunjung Supermarket Saling Tusuk",health,rebut desinfektan covid unjung supermarket tusuk
02/17/2020,https://health.detik.com/berita-detikhealth/d-4902084/heboh-karena-virus-corona-memangnya-siapa-sih-yang-wajib-pakai-masker,"Heboh Karena Virus Corona, Memangnya Siapa Sih yang Wajib Pakai Masker?",health,heboh virus corona memang sih wajib pakai masker
02/17/2020,https://health.detik.com/berita-detikhealth/d-4902046/ini-yang-terjadi-saat-seseorang-terinfeksi-virus-corona-covid-19,Ini yang Terjadi Saat Seseorang Terinfeksi Virus Corona COVID-19,health,infeksi virus corona covid
02/17/2020,https://health.detik.com/berita-detikhealth/d-4901948/kasus-meningkat-who-tegaskan-tak-bisa-prediksi-penyebaran-covid-19,"Kasus Meningkat, WHO Tegaskan Tak Bisa Prediksi Penyebaran COVID-19",health,tingkat who tegas prediksi sebar covid
02/17/2020,https://health.detik.com/fotohealth/d-4901939/5-cara-cegah-penularan-virus-corona-covid-19,5 Cara Cegah Penularan Virus Corona COVID-19,health,cegah tular virus corona covid
02/17/2020,https://health.detik.com/diet/d-4901840/daftar-sayuran-yang-lebih-sehat-kalau-mentah-dan-yang-harus-dimasak,Daftar Sayuran yang Lebih Sehat Kalau Mentah dan yang Harus Dimasak,health,daftar sayur sehat mentah masak
02/17/2020,https://health.detik.com/berita-detikhealth/d-4901819/beredar-penampakan-paru-paru-yang-terinfeksi-virus-corona-covid-19,Beredar Penampakan Paru-paru yang Terinfeksi Virus Corona COVID-19,health,edar tampak paru paru infeksi virus corona covid
02/17/2020,https://health.detik.com/kebugaran/d-4901793/suka-berenang-tapi-napasnya-nggak-kuat-ini-tips-dari-aquaman,Suka Berenang Tapi Napasnya Nggak Kuat? Ini Tips dari 'Aquaman',health,suka renang napas nggak kuat tips aquaman
02/17/2020,https://health.detik.com/berita-detikhealth/d-4901786/musisi-elton-john-terserang-walking-pneumonia-penyakit-apa-itu,"Musisi Elton John Terserang 'Walking Pneumonia', Penyakit Apa Itu?",health,musisi elton john serang walking pneumonia sakit
02/17/2020,https://health.detik.com/berita-detikhealth/d-4901761/taiwan-laporkan-kematian-pertama-akibat-virus-corona-covid-19,Taiwan Laporkan Kematian Pertama akibat Virus Corona COVID-19,health,taiwan lapor mati akibat virus corona covid
02/17/2020,https://health.detik.com/kebugaran/d-4901757/siapa-bilang-sibuk-bekerja-bikin-susah-olahraga-simak-kata-liza-natalia,Siapa Bilang Sibuk Bekerja Bikin Susah Olahraga? Simak Kata Liza Natalia,health,bilang sibuk bikin susah olahraga simak liza natalia
02/17/2020,https://health.detik.com/berita-detikhealth/d-4901681/ingin-berotot-seperti-jeremiah-aquaman-lakhwani-kuncinya-di-protein,Ingin Berotot Seperti Jeremiah 'Aquaman' Lakhwani? Kuncinya di Protein,health,otot jeremiah aquaman lakhwani kunci protein
02/17/2020,https://health.detik.com/berita-detikhealth/d-4901699/banyak-yang-abal-abal-begini-memilih-psikolog-resmi-yang-terpercaya,"Banyak yang Abal-abal, Begini Memilih Psikolog Resmi yang Terpercaya",health,abal abal pilih psikolog resmi percaya
02/17/2020,https://health.detik.com/berita-detikhealth/d-4901695/dilema-virus-corona-di-kapal-pesiar-dikarantina-malah-makin-menular,"Dilema Virus Corona di Kapal Pesiar, Dikarantina Malah Makin Menular",health,dilema virus corona kapal pesiar karantina tular
02/17/2020,https://health.detik.com/berita-detikhealth/d-4901680/inginpunya-body-ramping-ideal-seperti-liza-natalia-ini-rahasianya,InginÂ Punya Body Ramping Ideal Seperti Liza Natalia? Ini Rahasianya,health,body ramping ideal liza natalia rahasia
2020-10-06 00:00:00,https://health.detik.com/fotohealth/d-5048738/who-ikut-tanggapi-aksi-protes-george-floyd-di-berbagai-negara,WHO Ikut Tanggapi Aksi Protes George Floyd di Berbagai Negara,health,who tanggap aksi protes george floyd negara
2020-10-06 00:00:00,https://health.detik.com/fotohealth/d-5048727/5-alasan-orang-enggan-pakai-masker,5 Alasan Orang Enggan Pakai Masker,health,alas orang enggan pakai masker
2020-10-06 00:00:00,https://health.detik.com/sexual-health/d-5048669/3-cara-mudah-hindari-bau-miss-v-tak-sedap-saat-bercinta,3 Cara Mudah Hindari Bau Miss V Tak Sedap Saat Bercinta,health,mudah hindar bau miss sedap cinta
2020-10-06 00:00:00,https://health.detik.com/fotohealth/d-5048608/semangat-juang-petugas-medis-dalam-bingkai-foto,Semangat Juang Petugas Medis Dalam Bingkai Foto,health,semangat juang tugas medis bingkai foto
2020-10-06 00:00:00,https://health.detik.com/berita-detikhealth/d-5048564/sambut-new-normal-warga-di-klaten-tak-sabar-latihan-sepak-bola,"Sambut New Normal, Warga di Klaten Tak Sabar Latihan Sepak Bola",health,sambut new normal warga klaten sabar latih sepak bola
2020-10-06 00:00:00,https://health.detik.com/true-story/d-5048526/wadaw-ada-ikan-nila-nyangkut-di-bokong-pria-ini,Wadaw! Ada Ikan Nila Nyangkut di Bokong Pria Ini,health,wadaw ikan nila nyangkut bokong pria
2020-10-06 00:00:00,https://health.detik.com/fotohealth/d-5048379/protokol-kesehatan-untuk-driver-online-diperketat,Protokol Kesehatan untuk Driver Online Diperketat,health,protokol sehat driver online ketat
2020-10-06 00:00:00,https://health.detik.com/berita-detikhealth/d-5048492/mengalami-kedutan-mata-kanan-dan-kiri-bawah-apa-artinya,"Mengalami Kedutan Mata Kanan dan Kiri Bawah, Apa Artinya?",health,alami kedut mata kanan kiri
2020-10-06 00:00:00,https://health.detik.com/berita-detikhealth/d-5048430/penyakit-demam-dalam-pandangan-islam,Penyakit Demam dalam Pandangan Islam,health,sakit demam pandang islam
2020-10-06 00:00:00,https://health.detik.com/fotohealth/d-5048367/awas-ada-penyakit-pernafasan-lain-yang-mengintai-masyarakat,Awas! Ada Penyakit Pernafasan Lain yang Mengintai Masyarakat,health,awas sakit nafas intai masyarakat
2020-10-06 00:00:00,https://health.detik.com/berita-detikhealth/d-5048366/capai-17-ribu-pemeriksaan-sampel-corona-ri-kian-dekati-target-jokowi,"Capai 17 Ribu, Pemeriksaan Sampel Corona RI Kian Dekati Target Jokowi",health,capai ribu periksa sampel corona kian dekat target jokowi
2020-10-06 00:00:00,https://health.detik.com/berita-detikhealth/d-5048344/15-tips-dr-reisa-broto-asmoro-untuk-jaga-diri-di-masa-pandemi-corona,15 Tips dr Reisa Broto Asmoro untuk Jaga Diri di Masa Pandemi Corona,health,tips reisa broto asmoro jaga pandemi corona
2020-10-06 00:00:00,https://health.detik.com/berita-detikhealth/d-5048310/perangi-covid-19-bca-donasikan-ventilator-ke-rspad-gatot-soebroto,"Perangi COVID-19, BCA Donasikan Ventilator ke RSPAD Gatot Soebroto",health,rang covid bca donasi ventilator rspad gatot soebroto
2020-10-06 00:00:00,https://health.detik.com/berita-detikhealth/d-5048259/catatkan-angka-terbanyak-dalam-sehari-ini-sebaran-pasien-sembuh-corona,"Catatkan Angka Terbanyak dalam Sehari, Ini Sebaran Pasien Sembuh Corona",health,catat angka hari sebar pasien sembuh corona
2020-10-06 00:00:00,https://health.detik.com/berita-detikhealth/d-5048228/tembus-1241-kasus-baru-ini-alasan-penambahan-kasus-corona-ri-tinggi,"Tembus 1.241 Kasus Baru, Ini Alasan Penambahan Kasus Corona RI Tinggi",health,tembus alas tambah corona
2020-10-06 00:00:00,https://health.detik.com/berita-detikhealth/d-5048170/corona-melonjak-1241-kasus-5-wilayah-ri-yang-nihil-kasus-baru-10-juni,"Corona Melonjak 1.241 Kasus, 5 Wilayah RI yang Nihil Kasus Baru 10 Juni",health,corona lonjak wilayah nihil juni
2020-10-06 00:00:00,https://health.detik.com/berita-detikhealth/d-5048143/rekor-tertinggi-pasien-corona-ri-yang-sembuh-tambah-715-jadi-12129-kasus,"Rekor Tertinggi, Pasien Corona RI yang Sembuh Tambah 715 Jadi 12.129 Kasus",health,rekor tinggi pasien corona sembuh
2020-10-06 00:00:00,https://health.detik.com/berita-detikhealth/d-5048127/rekor-tambah-1241-ini-sebaran-kasus-baru-virus-corona-10-juni,"Rekor! Tambah 1.241, Ini Sebaran Kasus Baru Virus Corona 10 Juni",health,rekor sebar virus corona juni
2020-10-06 00:00:00,https://health.detik.com/berita-detikhealth/d-5048120/rekor-lagi-kasus-positif-corona-bertambah-1241-sulsel-dan-jatim-tertinggi,"Rekor Lagi! Kasus Positif Corona Bertambah 1.241, Sulsel dan Jatim Tertinggi",health,rekor positif corona tambah sulsel jatim tinggi
2020-10-06 00:00:00,https://health.detik.com/berita-detikhealth/d-5048116/update-corona-di-indonesia-10-juni-34316-positif-12129-sembuh-1959-meninggal,"Update Corona di Indonesia 10 Juni: 34.316 Positif, 12.129 Sembuh, 1.959 Meninggal",health,update corona indonesia juni positif sembuh tinggal
